data	media
1998.792	365.19
1998.875	366.44
1998.958	367.31
1999.042	367.95
1999.125	368.35
1999.208	368.74
1999.292	369.13
1999.375	369.03
1999.458	368.19
1999.542	366.53
1999.625	365.18
1999.708	365.29
1999.792	366.6
1999.875	367.9
1999.958	368.73
2000.042	369.24
2000.125	369.5
2000.208	369.82
2000.292	370.2
2000.375	370.1
2000.458	369.18
2000.542	367.78
2000.625	366.63
2000.708	366.58
2000.792	367.78
2000.875	369.13
2000.958	369.95
2001.042	370.53
2001.125	371.02
2001.208	371.42
2001.292	371.74
2001.375	371.64
2001.458	370.69
2001.542	369.29
2001.625	368.16
2001.708	368.2
2001.792	369.55
2001.875	370.88
2001.958	371.8
2002.042	372.35
2002.125	372.74
2002.208	373.21
2002.292	373.56
2002.375	373.54
2002.458	372.67
2002.542	371.24
2002.625	370.19
2002.708	370.52
2002.792	371.78
2002.875	373.11
2002.958	374.09
2003.042	374.77
2003.125	375.29
2003.208	375.73
2003.292	376.21
2003.375	376.33
2003.458	375.5
2003.542	373.98
2003.625	372.75
2003.708	372.93
2003.792	374.21
2003.875	375.5
2003.958	376.36
2004.042	377.03
2004.125	377.56
2004.208	377.98
2004.292	378.31
2004.375	378.24
2004.458	377.36
2004.542	375.82
2004.625	374.35
2004.708	374.24
2004.792	375.57
2004.875	377.04
2004.958	378.01
2005.042	378.58
2005.125	379.12
2005.208	379.71
2005.292	380.17
2005.375	380.27
2005.458	379.45
2005.542	377.79
2005.625	376.57
2005.708	376.59
2005.792	377.9
2005.875	379.35
2005.958	380.34
2006.042	381.15
2006.125	381.77
2006.208	382.15
2006.292	382.49
2006.375	382.45
2006.458	381.58
2006.542	379.89
2006.625	378.3
2006.708	378.43
2006.792	379.87
2006.875	381.23
2006.958	382.19
2007.042	382.83
2007.125	383.34
2007.208	383.8
2007.292	384.06
2007.375	383.91
2007.458	383.04
2007.542	381.34
2007.625	380.09
2007.708	380.47
2007.792	381.88
2007.875	383.22
2007.958	384.23
2008.042	384.99
2008.125	385.51
2008.208	385.91
2008.292	386.3
2008.375	386.26
2008.458	385.34
2008.542	383.86
2008.625	382.54
2008.708	382.32
2008.792	383.44
2008.875	384.95
2008.958	386.04
2009.042	386.8
2009.125	387.25
2009.208	387.48
2009.292	387.76
2009.375	387.73
2009.458	386.74
2009.542	384.81
2009.625	383.43
2009.708	383.74
2009.792	385.3
2009.875	386.75
2009.958	387.63
2010.042	388.42
2010.125	389.14
2010.208	389.48
2010.292	389.79
2010.375	389.76
2010.458	388.83
2010.542	387.18
2010.625	386.06
2010.708	386.52
2010.792	388.07
2010.875	389.43
2010.958	390.18
2011.042	390.74
2011.125	391.17
2011.208	391.48
2011.292	391.86
2011.375	391.89
2011.458	390.95
2011.542	389.01
2011.625	387.68
2011.708	388.09
2011.792	389.65
2011.875	391.03
2011.958	391.86
2012.042	392.43
2012.125	393.03
2012.208	393.55
2012.292	393.81
2012.375	393.69
2012.458	392.65
2012.542	390.79
2012.625	389.68
2012.708	390.35
2012.792	391.96
2012.875	393.37
2012.958	394.2
2013.042	394.87
2013.125	395.49
2013.208	396.09
2013.292	396.54
2013.375	396.55
2013.458	395.75
2013.542	394.26
2013.625	393.04
2013.708	393.02
2013.792	394.31
2013.875	395.76
2013.958	396.66
2014.042	397.29
2014.125	397.75
2014.208	398.05
2014.292	398.4
2014.375	398.47
2014.458	397.51
2014.542	395.92
2014.625	394.81
2014.708	394.89
2014.792	396.14
2014.875	397.62
2014.958	398.6
2015.042	399.32
2015.125	399.88
2015.208	400.33
2015.292	400.73
2015.375	400.68
2015.458	399.83
2015.542	398.14
2015.625	396.83
2015.708	397.11
2015.792	398.56
2015.875	400.13
2015.958	401.43
2016.042	402.4
2016.125	403.03
2016.208	403.61
2016.292	404.14
2016.375	404.21
2016.458	403.42
2016.542	401.88
2016.625	400.58
2016.708	400.75
2016.792	402.19
2016.875	403.55
2016.958	404.45
2017.042	405.1
2017.125	405.69
2017.208	406.1
2017.292	406.39
2017.375	406.43
2017.458	405.64
2017.542	403.89
2017.625	402.36
2017.708	402.45
2017.792	403.94
2017.875	405.48
2017.958	406.53
2018.042	407.33
2018.125	408
2018.208	408.53
2018.292	408.85
2018.375	408.71
2018.458	407.83
2018.542	406.25
2018.625	404.87
2018.708	404.94
2018.792	406.41
2018.875	407.89
2018.958	408.95
2019.042	409.69
2019.125	410.14
2019.208	410.65
2019.292	411.1
2019.375	411.16
2019.458	410.35
2019.542	408.69
2019.625	407.43
2019.708	407.65
